"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201020,2020-10-20,13874A,CME ,00,138 , 2435244,  271396,  490806,   27164, 1226270,  593464,  262326,  198620,  389239,   45232,  117893,  363665,    5583, 2154484, 2177479,  280760,  257765,  -36286,  -15433,   11356,   -3661,  -13819,   19411,  -14692,   15212,  -38416,    1959,   12045,      50,    -349,  -18738,  -24342,  -17548,  -11944,  100.0,   11.1,   20.2,    1.1,   50.4,   24.4,   10.8,    8.2,   16.0,    1.9,    4.8,   14.9,    0.2,   88.5,   89.4,   11.5,   10.6,    556,     36,     35,     19,    159,     93,    118,     64,     95,     45,     34,     40,      9,    382,    365,    13.3,    19.6,    21.6,    29.3,    12.2,    19.6,    19.7,    28.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201013,2020-10-13,13874A,CME ,00,138 , 2471530,  286829,  479450,   30825, 1240089,  574053,  277018,  183408,  427655,   43273,  105848,  363615,    5932, 2173222, 2201821,  298308,  269709,   -4660,  -12286,    -323,    6974,   21115,  -57747,     231,  -24560,   45979,    5677,  -10133,    6788,     403,  -12579,    7982,    7919,  -12642,  100.0,   11.6,   19.4,    1.2,   50.2,   23.2,   11.2,    7.4,   17.3,    1.8,    4.3,   14.7,    0.2,   87.9,   89.1,   12.1,   10.9,    549,     32,     35,     18,    162,     87,    121,     60,    102,     48,     29,     42,      9,    369,    376,    13.8,    19.5,    21.9,    28.8,    12.7,    19.5,    20.1,    28.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",201006,2020-10-06,13874A,CME ,00,138 , 2476190,  299115,  479773,   23851, 1218974,  631800,  276787,  207968,  381676,   37596,  115981,  356827,    5529, 2185801, 2193839,  290389,  282351,    2698,    5914,  -25990,   -3295,  -45952,  -41979,   -2357,   20815,   31784,    -347,   -2406,   24204,    -484,  -28112,  -18464,   30810,   21162,  100.0,   12.1,   19.4,    1.0,   49.2,   25.5,   11.2,    8.4,   15.4,    1.5,    4.7,   14.4,    0.2,   88.3,   88.6,   11.7,   11.4,    548,     33,     34,     18,    150,     93,    118,     64,    101,     48,     30,     43,      7,    367,    372,    14.3,    19.4,    22.3,    29.1,    13.3,    19.4,    20.3,    28.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200929,2020-09-29,13874A,CME ,00,138 , 2473492,  293201,  505763,   27146, 1264926,  673779,  279144,  187153,  349892,   37943,  118387,  332623,    6013, 2213913, 2212303,  259579,  261189,     541,   -3582,  -17089,     449,  -52757,   13226,    2565,   11454,   11813,    7874,   20042,   -3025,     402,  -13553,   16215,   14094,  -15674,  100.0,   11.9,   20.4,    1.1,   51.1,   27.2,   11.3,    7.6,   14.1,    1.5,    4.8,   13.4,    0.2,   89.5,   89.4,   10.5,   10.6,    543,     31,     39,     18,    149,     98,    124,     59,     97,     40,     32,     38,     10,    362,    373,    16.1,    20.6,    24.4,    30.4,    15.1,    20.6,    22.2,    30.4,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200922,2020-09-22,13874A,CME ,00,138 , 2472951,  296783,  522852,   26697, 1317683,  660553,  276579,  175699,  338079,   30069,   98345,  335648,    5611, 2227466, 2196088,  245485,  276863, -435197,  -64563,  132779, -212352,   53853,   21104,  -53923,  -42022, -134526,  -58416,  -14435,  -21978,   -2511, -394369, -329823,  -40828, -105374,  100.0,   12.0,   21.1,    1.1,   53.3,   26.7,   11.2,    7.1,   13.7,    1.2,    4.0,   13.6,    0.2,   90.1,   88.8,    9.9,   11.2,    549,     32,     41,     15,    154,     95,    128,     60,     96,     37,     28,     43,      8,    361,    376,    16.1,    19.7,    25.1,    29.8,    15.2,    19.7,    22.9,    29.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200915,2020-09-15,13874A,CME ,00,138 , 2908148,  361346,  390073,  239049, 1263830,  639449,  330502,  217721,  472605,   88485,  112780,  357626,    8122, 2621835, 2525911,  286313,  382237,  201749,  -66815,   16618,  156964,   18076,    6468,   32447,  -27961,  -19762,   41912,   12301,  -38015,    2213,  169137,  198845,   32612,    2904,  100.0,   12.4,   13.4,    8.2,   43.5,   22.0,   11.4,    7.5,   16.3,    3.0,    3.9,   12.3,    0.3,   90.2,   86.9,    9.8,   13.1,    558,     33,     39,     35,    151,     89,    127,     64,    105,     65,     30,     45,     13,    404,    394,    12.8,    16.8,    21.5,    24.2,    12.0,    15.2,    18.9,    21.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200908,2020-09-08,13874A,CME ,00,138 , 2706399,  428161,  373455,   82085, 1245754,  632981,  298055,  245682,  492367,   46573,  100479,  395641,    5909, 2452698, 2327066,  253701,  379333,  -83222,  -46036,    4072,   10973,  -67357,    6184,   14057,    2329,  -93488,   -1112,    5828,  -39429,     415,  -80903,  -98328,   -2319,   15106,  100.0,   15.8,   13.8,    3.0,   46.0,   23.4,   11.0,    9.1,   18.2,    1.7,    3.7,   14.6,    0.2,   90.6,   86.0,    9.4,   14.0,    571,     32,     38,     27,    150,     96,    128,     65,    108,     54,     34,     48,     12,    390,    402,    13.6,    16.5,    23.5,    23.3,    13.1,    16.1,    21.6,    22.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200901,2020-09-01,13874A,CME ,00,138 , 2789621,  474197,  369383,   71112, 1313111,  626797,  283998,  243353,  585855,   47685,   94651,  435070,    5494, 2533601, 2425394,  256020,  364227,   43451,    2038,     319,    5253,  -28938,   -1640,   20568,   34887,    6889,    8855,     274,   -1720,     -66,   42871,   38458,     580,    4993,  100.0,   17.0,   13.2,    2.5,   47.1,   22.5,   10.2,    8.7,   21.0,    1.7,    3.4,   15.6,    0.2,   90.8,   86.9,    9.2,   13.1,    580,     33,     38,     27,    159,     94,    123,     67,    112,     51,     30,     47,      6,    384,    403,    13.8,    15.6,    23.8,    23.3,    13.4,    15.3,    22.1,    22.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200825,2020-08-25,13874A,CME ,00,138 , 2746170,  472159,  369064,   65859, 1342049,  628437,  263430,  208466,  578966,   38830,   94377,  436790,    5560, 2490730, 2386936,  255440,  359234,   16880,     115,     987,     331,   27536,   -7040,  -16597,   -2337,   22214,    8319,     597,    4125,      53,   18017,   12392,   -1137,    4488,  100.0,   17.2,   13.4,    2.4,   48.9,   22.9,    9.6,    7.6,   21.1,    1.4,    3.4,   15.9,    0.2,   90.7,   86.9,    9.3,   13.1,    579,     38,     36,     28,    158,     91,    124,     63,    115,     46,     29,     49,     10,    376,    411,    14.8,    16.0,    23.5,    22.9,    13.9,    15.7,    22.2,    22.6,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200818,2020-08-18,13874A,CME ,00,138 , 2729290,  472044,  368077,   65528, 1314513,  635477,  280027,  210803,  556752,   30511,   93780,  432665,    5507, 2472713, 2374544,  256577,  354746,   35202,     314,   23658,    3205,    7592,    -795,    9717,    5132,  -12233,    5307,   -1799,   24663,     321,   29789,   53843,    5413,  -18641,  100.0,   17.3,   13.5,    2.4,   48.2,   23.3,   10.3,    7.7,   20.4,    1.1,    3.4,   15.9,    0.2,   90.6,   87.0,    9.4,   13.0,    578,     34,     34,     27,    161,     90,    128,     64,    116,     44,     29,     50,      9,    373,    413,    15.4,    15.9,    23.4,    23.1,    14.5,    15.7,    22.0,    22.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200811,2020-08-11,13874A,CME ,00,138 , 2694088,  471730,  344419,   62323, 1306921,  636272,  270310,  205671,  568985,   25204,   95579,  408002,    5186, 2442924, 2320701,  251164,  373387,   17690,    -526,   20636,    8715,    7399,  -51127,   -5518,    7780,   22358,   -1146,     276,   17582,     194,   17174,   11694,     516,    5996,  100.0,   17.5,   12.8,    2.3,   48.5,   23.6,   10.0,    7.6,   21.1,    0.9,    3.5,   15.1,    0.2,   90.7,   86.1,    9.3,   13.9,    570,     34,     36,     28,    159,     90,    122,     58,    118,     42,     30,     45,     10,    365,    407,    15.4,    15.5,    23.9,    22.8,    14.4,    15.5,    22.2,    22.3,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200804,2020-08-04,13874A,CME ,00,138 , 2676398,  472256,  323783,   53608, 1299522,  687399,  275828,  197891,  546627,   26350,   95303,  390420,    4992, 2425750, 2309007,  250648,  367391,   29249,   39959,  -10525,    1067,   35574,  -31615,  -27340,  -24360,   59732,   -2530,   -2343,   25992,    -706,   19321,   14075,    9928,   15174,  100.0,   17.6,   12.1,    2.0,   48.6,   25.7,   10.3,    7.4,   20.4,    1.0,    3.6,   14.6,    0.2,   90.6,   86.3,    9.4,   13.7,    570,     36,     35,     27,    158,     96,    124,     57,    112,     41,     28,     48,      8,    367,    403,    15.3,    16.9,    23.4,    23.7,    14.3,    16.9,    21.4,    23.2,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200728,2020-07-28,13874A,CME ,00,138 , 2647149,  432297,  334308,   52541, 1263948,  719014,  303168,  222251,  486895,   28880,   97646,  364428,    5698, 2406429, 2294932,  240720,  352217,   13935,  -18541,   66712,     813,   45643,    1180,  -16806,    9344,  -41865,     630,   -2385,  -18062,    -512,   18186,   -7910,   -4251,   21845,  100.0,   16.3,   12.6,    2.0,   47.7,   27.2,   11.5,    8.4,   18.4,    1.1,    3.7,   13.8,    0.2,   90.9,   86.7,    9.1,   13.3,    572,     35,     34,     26,    157,    101,    123,     64,    103,     45,     28,     50,      8,    374,    400,    15.5,    17.5,    23.6,    24.2,    14.7,    17.5,    21.0,    23.9,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200721,2020-07-21,13874A,CME ,00,138 , 2633214,  450838,  267596,   51728, 1218305,  717834,  319974,  212907,  528760,   28250,  100031,  382490,    6210, 2388243, 2302842,  244971,  330372,    7373,   12748,   24189,    1728,  -16874,  -27066,   -4707,   10892,    9250,    -913,   -1491,    2825,     349,    1732,    5655,    5641,    1718,  100.0,   17.1,   10.2,    2.0,   46.3,   27.3,   12.2,    8.1,   20.1,    1.1,    3.8,   14.5,    0.2,   90.7,   87.5,    9.3,   12.5,    573,     35,     35,     28,    155,     96,    124,     64,    108,     47,     31,     49,      9,    378,    403,    15.2,    17.7,    23.4,    24.0,    14.5,    17.7,    20.8,    23.7,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200714,2020-07-14,13874A,CME ,00,138 , 2625841,  438090,  243407,   50000, 1235179,  744900,  324681,  202015,  519510,   29163,  101522,  379665,    5861, 2386511, 2297187,  239330,  328654,    7815,   -4853,    5535,   -1892,   12565,  -42129,   14008,   -1651,   26277,    -800,   -4175,   -2125,     -68,   13134,   -1194,   -5319,    9009,  100.0,   16.7,    9.3,    1.9,   47.0,   28.4,   12.4,    7.7,   19.8,    1.1,    3.9,   14.5,    0.2,   90.9,   87.5,    9.1,   12.5,    583,     34,     35,     23,    154,    100,    123,     70,    108,     49,     32,     50,      7,    378,    407,    15.6,    17.6,    23.8,    24.2,    14.8,    17.6,    21.3,    23.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
"E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE",200707,2020-07-07,13874A,CME ,00,138 , 2618026,  442943,  237872,   51892, 1222614,  787029,  310673,  203666,  493233,   29963,  105697,  381790,    5929, 2373377, 2298381,  244649,  319645,  -29696,   -6016,  -10299,   15496,    -752,  -40519,  -10310,  -12571,    4617,    2637,  -13277,   11262,    -394,  -25187,  -27510,   -4509,   -2186,  100.0,   16.9,    9.1,    2.0,   46.7,   30.1,   11.9,    7.8,   18.8,    1.1,    4.0,   14.6,    0.2,   90.7,   87.8,    9.3,   12.2,    577,     35,     32,     24,    144,    106,    124,     69,    108,     47,     32,     51,      8,    374,    406,    15.3,    17.7,    23.7,    24.3,    14.6,    17.7,    21.7,    23.8,"($50 X S&P 500 INDEX)","13874A","CME ","138 ","F20","FutOnly"
